X Y
0 0
0 0.5
0 1
0 1.5
0 2
0 2.5
0 3
0.5 0
0.5 0.5
0.5 1
0.5 1.5
0.5 2
0.5 2.5
0.5 3
1 0
1 0.5
1 1
1 1.5
1 2
1 2.5
1 3
1.5 0
1.5 0.5
1.5 1
1.5 1.5
1.5 2
1.5 2.5
1.5 3
2 0
2 0.5
2 1
2 1.5
2 2
2 2.5
2 3
2.5 0
2.5 0.5
2.5 1
2.5 1.5
2.5 2
2.5 2.5
2.5 3
3 0
3 0.5
3 1
3 1.5
3 2
3 2.5
3 3
3.5 0
3.5 0.5
3.5 1
3.5 1.5
3.5 2
3.5 2.5
3.5 3
4 0
4 0.5
4 1
4 1.5
4 2
4 2.5
4 3
4.5 0
4.5 0.5
4.5 1
4.5 1.5
4.5 2
4.5 2.5
4.5 3
5 0
5 0.5
5 1
5 1.5
5 2
5 2.5
5 3
5.5 0
5.5 0.5
5.5 1
5.5 1.5
5.5 2
5.5 2.5
5.5 3
6 0
6 0.5
6 1
6 1.5
6 2
6 2.5
6 3
6.5 0
6.5 0.5
6.5 1
6.5 1.5
6.5 2
6.5 2.5
6.5 3
7 0
7 0.5
7 1
7 1.5
7 2
7 2.5
7 3
7.5 0
7.5 0.5
7.5 1
7.5 1.5
7.5 2
7.5 2.5
7.5 3
8 0
8 0.5
8 1
8 1.5
8 2
8 2.5
8 3
8.5 0
8.5 0.5
8.5 1
8.5 1.5
8.5 2
8.5 2.5
8.5 3
9 0
9 0.5
9 1
9 1.5
9 2
9 2.5
9 3
