X Y
0 0
0 0.375
0 0.75
0 1.125
0 1.5
0 1.875
0 2.25
0 2.625
0 3
0.391304 0
0.391304 0.375
0.391304 0.75
0.391304 1.125
0.391304 1.5
0.391304 1.875
0.391304 2.25
0.391304 2.625
0.391304 3
0.782609 0
0.782609 0.375
0.782609 0.75
0.782609 1.125
0.782609 1.5
0.782609 1.875
0.782609 2.25
0.782609 2.625
0.782609 3
1.17391 0
1.17391 0.375
1.17391 0.75
1.17391 1.125
1.17391 1.5
1.17391 1.875
1.17391 2.25
1.17391 2.625
1.17391 3
1.56522 0
1.56522 0.375
1.56522 0.75
1.56522 1.125
1.56522 1.5
1.56522 1.875
1.56522 2.25
1.56522 2.625
1.56522 3
1.95652 0
1.95652 0.375
1.95652 0.75
1.95652 1.125
1.95652 1.5
1.95652 1.875
1.95652 2.25
1.95652 2.625
1.95652 3
2.34783 0
2.34783 0.375
2.34783 0.75
2.34783 1.125
2.34783 1.5
2.34783 1.875
2.34783 2.25
2.34783 2.625
2.34783 3
2.73913 0
2.73913 0.375
2.73913 0.75
2.73913 1.125
2.73913 1.5
2.73913 1.875
2.73913 2.25
2.73913 2.625
2.73913 3
3.13043 0
3.13043 0.375
3.13043 0.75
3.13043 1.125
3.13043 1.5
3.13043 1.875
3.13043 2.25
3.13043 2.625
3.13043 3
3.52174 0
3.52174 0.375
3.52174 0.75
3.52174 1.125
3.52174 1.5
3.52174 1.875
3.52174 2.25
3.52174 2.625
3.52174 3
3.91304 0
3.91304 0.375
3.91304 0.75
3.91304 1.125
3.91304 1.5
3.91304 1.875
3.91304 2.25
3.91304 2.625
3.91304 3
4.30435 0
4.30435 0.375
4.30435 0.75
4.30435 1.125
4.30435 1.5
4.30435 1.875
4.30435 2.25
4.30435 2.625
4.30435 3
4.69565 0
4.69565 0.375
4.69565 0.75
4.69565 1.125
4.69565 1.5
4.69565 1.875
4.69565 2.25
4.69565 2.625
4.69565 3
5.08696 0
5.08696 0.375
5.08696 0.75
5.08696 1.125
5.08696 1.5
5.08696 1.875
5.08696 2.25
5.08696 2.625
5.08696 3
5.47826 0
5.47826 0.375
5.47826 0.75
5.47826 1.125
5.47826 1.5
5.47826 1.875
5.47826 2.25
5.47826 2.625
5.47826 3
5.86957 0
5.86957 0.375
5.86957 0.75
5.86957 1.125
5.86957 1.5
5.86957 1.875
5.86957 2.25
5.86957 2.625
5.86957 3
6.26087 0
6.26087 0.375
6.26087 0.75
6.26087 1.125
6.26087 1.5
6.26087 1.875
6.26087 2.25
6.26087 2.625
6.26087 3
6.65217 0
6.65217 0.375
6.65217 0.75
6.65217 1.125
6.65217 1.5
6.65217 1.875
6.65217 2.25
6.65217 2.625
6.65217 3
7.04348 0
7.04348 0.375
7.04348 0.75
7.04348 1.125
7.04348 1.5
7.04348 1.875
7.04348 2.25
7.04348 2.625
7.04348 3
7.43478 0
7.43478 0.375
7.43478 0.75
7.43478 1.125
7.43478 1.5
7.43478 1.875
7.43478 2.25
7.43478 2.625
7.43478 3
7.82609 0
7.82609 0.375
7.82609 0.75
7.82609 1.125
7.82609 1.5
7.82609 1.875
7.82609 2.25
7.82609 2.625
7.82609 3
8.21739 0
8.21739 0.375
8.21739 0.75
8.21739 1.125
8.21739 1.5
8.21739 1.875
8.21739 2.25
8.21739 2.625
8.21739 3
8.6087 0
8.6087 0.375
8.6087 0.75
8.6087 1.125
8.6087 1.5
8.6087 1.875
8.6087 2.25
8.6087 2.625
8.6087 3
9 0
9 0.375
9 0.75
9 1.125
9 1.5
9 1.875
9 2.25
9 2.625
9 3
