X Y
0 0
0 0.6
0 1.2
0 1.8
0 2.4
0 3
0.6 0
0.6 0.6
0.6 1.2
0.6 1.8
0.6 2.4
0.6 3
1.2 0
1.2 0.6
1.2 1.2
1.2 1.8
1.2 2.4
1.2 3
1.8 0
1.8 0.6
1.8 1.2
1.8 1.8
1.8 2.4
1.8 3
2.4 0
2.4 0.6
2.4 1.2
2.4 1.8
2.4 2.4
2.4 3
3 0
3 0.6
3 1.2
3 1.8
3 2.4
3 3
3.6 0
3.6 0.6
3.6 1.2
3.6 1.8
3.6 2.4
3.6 3
4.2 0
4.2 0.6
4.2 1.2
4.2 1.8
4.2 2.4
4.2 3
4.8 0
4.8 0.6
4.8 1.2
4.8 1.8
4.8 2.4
4.8 3
5.4 0
5.4 0.6
5.4 1.2
5.4 1.8
5.4 2.4
5.4 3
6 0
6 0.6
6 1.2
6 1.8
6 2.4
6 3
6.6 0
6.6 0.6
6.6 1.2
6.6 1.8
6.6 2.4
6.6 3
7.2 0
7.2 0.6
7.2 1.2
7.2 1.8
7.2 2.4
7.2 3
7.8 0
7.8 0.6
7.8 1.2
7.8 1.8
7.8 2.4
7.8 3
8.4 0
8.4 0.6
8.4 1.2
8.4 1.8
8.4 2.4
8.4 3
9 0
9 0.6
9 1.2
9 1.8
9 2.4
9 3
